aachi ஆச்சி 
ramachandran ராமசந்திரன் 
ramanadhan இராமநாதன் 
ramnavami ராமநவமி 
rand றந்து 
range ரங்கே 
rap ராப் 
rate ரேட் 
ravanan இராவணன் 
ravishankar ரவிசங்கர் 
raw ரா 
read பிரட் 
read ரேஅது 
readymade ரெடிமேட் 
reakfast ப்றேஅக்பாச்ட் 
receive ரேசெஇவே 
recharge ரேச்சர்ஜ் 
refer கிபிர் 
registration ரேகிச்ற்றடின் 
relationship ரெலதிஒந்ஸ்ஹிப் 
release ரிலீஸ் 
reliance ரிலையன்ஸ் 
remote ரிமோட் 
repeat ரேபெஅட் 
return ரெடுக்ன் 
returns ரேடுர்ன்ஸ் 
review ரெவிஎவ் = 
rice ரைஸ் 
right ரைட் 
rindha பிருந்தா 
rock ராக் 
roker புரோக்கர் 
roma ரொம்ப 
row ரோ 
rowdy ரவுடி 
rown பிரவுன் 
rowsing ப்ரொவ்சிங் 
royal ராயல் 
ruaai ருபாய் 
rules ரூல்ஸ் 
runei ப்ருனெய் 
rush பருச் 
saapadu சாப்பாடு 
saapida சாப்பிட 
saapiduvom சாப்பிடுவோம் 
saaptiya சாப்டியா 
saatha சாதா 
saathiyum சாதியையும் 
saati சஷ்டி 
sadha சதா 
sakaram சக்கரம் 
sal ஸல் 
same சமே 
sample சாம்பிள் 
samy சாமீ 
sandhi சாந்தி 
sandhosam சந்தோஷம் 
sankranti சங்கராந்தி 
santhanam சந்தானம் 
santhi சாந்தி ? 
santhiththal சந்தித்தால் 
santhosamana சந்தோஷமான 
santhosathil சந்தோஷத்தில் 
santhosham சந்தோசம் 
sanyaasi சந்நியாசி 
saradha சாரதா 
sari சரி 
saridha சரிதா 
sariya சரியாய் 
satha சதா 
sathathai சத்தத்தை 
sathya சத்யா 
savuthi சவூதி 
saya சாயா 
sayi சாயி 
says சாய்ஸ் 
science சயின்ஸ் 
scrap சகரப் 
script ஸ்கிரிப்ட் 
sea செபட 
search சர்ச் 
searching செஅற்சிங் 
seat செஅட் 
second செகண்ட் 
see சி 
seela ஷீலா 
seeriyasaaka சீரியஸாக 
seidhalum செய்தாலும் 
seint செயின்ட் 
seithalum செய்தலும் 
seithar செய்தற் 
seithi செய்தி 
seithu செய்து 
select செலக்ட் 
self ஸெல்ப் 
sellathurai செல்லத்துரை 
semester செமஸ்டர் 
senior சீனியர் 
seri சேரி 
serious சீரியஸ் 
serkirathu சேர்க்கிறது 
server சர்வர் 
seth சேத 
sethu சேது 
sexy செக்ஸ்ய் 
seyum சேயும் 
seyya செய்ய 
shaahul சாகுல் 
shakthi ஷக்தி 
shankara சங்கரர் 
share ஷேர் 
sharon சார் 
she ஷி 
shewag சேவாக் 
shila ஷீலா 
shirt ஷர்ட் 
shoe சூ 
shopping ஷாப்பிங் 
shot சாட் 
shri ஸ்ரீ 
shut சட் 
sinegithi சினேகிதி 
singam சிங்கம் 
single சிங்கள் 
sirippu சிரிப்பு 
siruneeragam சிறுநீரகம் 
sisters சிஸ்டேர்ஸ் 
site சைட் 
situation சிடுஅடின் 
sivapadhikaaram சிவப்பதிகாரம் 
sivasupramaniyan சிவசுப்பிரமணியன் 
sivasuramaniyan சிவசுப்பிரமணியன் 
siya சியா 
size சைஸ் 
slogam சுலோகம் 
slow ஸ்லொவ் 
small சமல் 
smile ஸ்மைல் 
software சாப்ட்வேர் 
sogam சோகம் 
soil சொயில் 
sokam சோகம் 
solla சொல்ல 
solliyirukireergal ?சொல்லியிருக்கிறீர்கள் ?
solluda சொல்லுடா 
solomon சாலமன் 
solra சொல்ற 
solvathillai சொல்வதில் 
sompu சோம்பு 
sonnathu சொன்னது 
sonthakaaran சொந்தக்காரன் 
sool சூழ் 
sooper சூப் 
soorasamharam சூரசம்ஹாரம் 
sooriyarachi சூரியாராச்சி 
sorgathil சொர்க்கத்தில் 
sorkam சுவர்க்கம் 
sorkathil சொர்க்கத்தில் 
soukyama சௌக்யமா 
soup சூப் 
south சவுத் 
spam ஸ்பாம் 
speaker ஸ்பீக்கர் 
special ஸ்பெஷல் 
sreedharan சிறீதரன் 
sreetharan சிறீதரன் 
sreya ஷ்ரேயா 
sri ஸ்ரீ 
srikrishna ஸ்ரீகிருஷ்ணா 
srilankavin ஸ்ரீலங்காவின் 
srinivaasan ஸ்ரீநிவாசன் 
started ச்டர்டேது 
station ஸ்டேஷன் 
stick ச்டிச்க் 
studies ச்டுடிஎஸ் 
studio ச்டுடயோ 
style ஸ்டைல் 
su சப் 
subramaniyam சுப்பிரமணியம் 
sukham சுகன் 
sum சம் 
sunda சண்ட 
sunday சண்டே 
sup சுப 
support சப்போர்ட் 
sura சுறா 
suraa சுறா 
suramaniyan சுப்பிரமணியன் 
suramaniyar சுப்பிரமணியர் 
suramanya சுப்பிரமணிய 
suvarasyam சுவாரசியம் 
svaram ஸ்வரம் 
swaamigal ஸ்வாமிகள் 
swamikal ஸ்வாமிகள் 
swaram ஸ்வரம் 
sweeden சுவீடன் 
taan டான் 
take டேக் 
tale டேபிள் 
tami தம்பி 
tamilil தமிழில் 
tamilla தமிழ்ல 
tamizh தமிழ் 
tamizhchelvan தமிழ்ச்செல்வன் 
tar தார் 
target டார்கெட் 
template டேம்ப்லடே 
tera தேற 
terror டேர்றோர் 
tha தா 
thaal தாள் 
thaane தானே 
thada தடா 
thadangal தடங்கல் 
thaikku தாய்க்கு 
thal தாழ் 
thalaippukal தலைப்புக்கள் 
thalaiyezhuththu தலையெழுத்து 
thalathil தலத்தில் 
thali தளி 
thamiz தமிழ் 
thamizha தமிழ 
than தன 
thandi தண்டி 
thandum தாண்டும் 
thangachi தங்கச்சி 
thangum தாங்கும் 
thaniperum தனிப்பெரும் 
thanisirappu தனிச்சிறப்பு 
thanks தேங்க்ஸ் 
thanthal தந்தாள் 
thar தார் 
tharani தாரணி 
tharmapuri தருமபுரி 
tharuvai தருவாய் 
thayana தாயான 
thayani தயானி 
the தி 
theater தியேட்டர் 
theateril தியேட்டரில் 
theaterla தியேட்டர்ல 
thedip தேடித் 
their தெயர் 
them தேம 
theme தீம் 
thennindhiya தென்னிந்தியா 
theri தேறி 
theriththu தெறித்து 
therium தெரியும் 
theriyathu தெரியாது 
therum தேறும் 
thh த் 
thiagaraja தியாகராஜ 
thidir திடீர் 
thipavali தீபாவளி 
thiram திறம் 
thirandhaal திறந்தாள் 
thiranthaal திறந்தாள் 
thiru திரு 
thirukkuraan திருக்குர்ஆன் 
thirukuraan திருக்குர்ஆன் 
thirunavukarasar திருநாவுக்கரசர் 
thirupadhigam திருப்பதிகம் 
thiruselvam திருச்செல்வம் 
thirutham திருத்தும் 
thiruvila திருவிழா 
thiyum தீயும் 
thodu தோடு 
tholaikkaatchi தொலைகாட்சி 
tholaith தோளைத் 
thomas தாமஸ் 
thondum தோண்டும் 
thoni தோணி 
thony தோணி 
thoonga தூங்க 
thotaa தோட்டா 
thuraiyin துரையின் 
thurga துர்க்கா 
tie தயே 
tiffin டிபன் 
tight டிக்ட் 
tikket டிக்கெட் 
title டைட்டில் 
to டு 
today டுடே 
tourist தௌரிச்ட் 
transfer ற்றன்ச்பிர் 
translation ற்றன்ச்லடின் 
transliteration ற்றன்ச்ளிடேரடின் 
treatment ற்றேஅத்மேன்ட் 
tri பற்றி 
trial டரியல் 
tried ற்றிஎது 
trim ட்ரிம் 
trip ட்ரிப் 
trust டிரஸ்ட் 
try ட்ரை 
trying திர்யிங் 
tumler டம்ளர் 
tup டப் 
tution டியூஷன் 
tvs டிவிஎஸ் 
udamaikal உடைமைகள் 
uddha புத்த 
udhaiththa உதைத்த 
ugadi உகாதி 
uhaari புஹாரி 
uier உய் 
ula உலா 
ulla உள்ள 
ullargal உள்ளார்கள் 
ullathu உள்ளது 
ullen உள்ளேன் 
un உன் 
una உன்ன 
unakenna உனக்கென்ன 
unakkum உனக்கும் 
unaku உனக்கு 
unar உணர் 
unarnthal உணர்ந்தாள் 
unga உங்க 
ungala உங்கள 
ungale உங்கள் 
ungalukku உங்களுக்கு 
union உணின் 
unit உநிட் 
united உநிடேது 
unkal உங்கள் 
unmail உண்மைகள் 
unnal உன்னால் 
unnodu உன்னோடு 
unodu உண்டு 
updates உப்டடேஸ் 
upper உப்பேர் 
uraiya உறைய 
uraiyum உறையும் 
urulaikilangu உருளைக்கிழங்கு 
urupinarkal உறுப்பினர்கள் 
urupugal உறுப்புக்கள் 
useful உசெபிஉல் 
ut பட் 
uthira உத்திர 
utkaarndhaal உட்கார்ந்தாள் 
uttiram உத்திரம் 
uvana புவனா 
uyeer உயிர் 
uzz புழ்ழ் 
vaa வா 
vaai வாய் 
vaaik வாய்க் 
vaaikkum வாய்க்கும் 
vaaitha வாய்த்த 
vaaiththa வாய்த்த 
vaaji வாஜி 
vaal வாழ் 
vaalai வாழை 
vaalaik வாலைக் 
vaalha வாலா 
vaalthukal வாழ்த்துக்கள் 
vaanga வாங்க 
vaangal வாங்கல் 
vaarai வாராய் 
vaaren வாறன் 
vaariyum வாரியம் 
vaarthai வார்த்தை 
vaatum வாட்டும் 
vaayal வாயால் 
vaazha வாழ 
vaazhkaiyil வாழ்க்கையில் 
vaazhthukkal வாழ்த்துக்கள் 
vachikittu வச்சிக்கிட்டு 
vadham வாதம் 
vae வெ 
vaelai வேலை 
vaidheeswaran வைத்தீஸ்வரன் 
vaikirathu வைக்கிறது 
vaitha வாய்த்த 
vaithi வைத்தி 
vaiththirunthaal வைத்திருந்தாள் 
vakram வக்கிரம் 
vakum வாக்கும் 
val வால் 
vala வள = 
valaipathivai வலைப்பதிவை 
valaipathivin வலைப்பதிவின் 
valaipoovil வலைப்பூவில் 
valaippu வலைப்பூ 
valaithalangal வலைத்தளங்கள் 
valakkai வலக்கை 
valamaaka வலமாக 
vali வலி 
valintha வழிந்த 
valipadum வழிபாடும் 
valiya வழிய 
valiyai வழியை 
valiyaiyum வழியையும் 
valiyum வழியும் 
vallunar வல்லுநர் 
valthukal வாழ்த்துக்கள் 
valthukkal வாழ்த்துக்கள் 
van வான் 
vanga வாங்க 
vangal வாங்கல் 
vanil வேனில் 
vantha வந்த 
vanthathu வந்தது 
vanthen வந்தேன் 
vanthirunthaal வந்திருந்தாள் 
vanthu வந்து 
vara வர 
varah வர் 
varaikalai வரைகலை 
varal வரல் 
varanda வறண்ட 
varathu வரத்து 
varen வரேன் 
variya வரியா 
varukiren வருகிறேன் 
varuththa வறுத்த 
varuthu வருது 
varuva வருவா 
vasa வாச 
vasapattu வசப்பட்டு 
vatri வற்றி 
vayathu வயது 
vazhathukal வாழ்த்துகள் 
vazhiadu வழிபடு 
vazhkaikku வாழ்க்கைக்கு 
vazhthukkal வாழ்த்துக்கள் 
vazhuthukal விழுதுகள் 
vazhuthukkal வாழ்த்துக்கள் 
veanum வேகும் 
veedu வீடு 
veetrirundha வீற்றிருந்து 
veettukku வீட்டுக்கு 
veetukku வீட்டுக்கு 
veetukulle வீட்டுக்குள்ளே 
veetula வீட்டுல 
veil வெயில் 
velai வேலை 
velaiku வேளைக்கு 
velaiyil வேளையில் 
velayai வேலையே 
velipaduthi வெளிப்படுத்தி 
vella வெல்ல 
vellai வெள்ளை 
vellore வெள்ளூர் 
ven வெண் 
vendaam வேண்டாம் 
vennai வெண்ணை 
venum வேணும் 
verayaa வேறயா 
version வேர்சின் 
vettiya வெட்டியா 
vey வேய் 
vial வியல் 
video வீடியோ 
videos விதேஒஸ் 
videovil வீடியோவில் 
viduthu விடுத்தது 
view விஎவ் 
vijaya விஜய 
vikramanayakka விக்கிரமநாயக்க 
vila விழ 
viliyum விழியும் 
vilum விழும் 
vinayakar விநாயகர் 
virudhachalam விருத்தாசலம் 
visam விஷம் 
visayam விஷயம் 
visayangal விஷயங்கள் 
visayaththai விஷயத்தை 
visayathuku விஷயத்துக்கு 
visvanathan விசுவநாதன் 
vit விட் 
vitamin வைட்டமின் 
vithaikalai விதைகளை 
viveganandha விவேகானந்தா 
vizhiyin விழியன் 
votu வோட்டு 
wait வெயிட் 
walk வாக் 
walking வாக்கிங் 
wanted வாண்டேது 
weekend வீகேந்து 
well வெள் 
wesite வெப்சைட் 
wet வெட் 
where வ்தேரே 
which வ்திச் 
whom ஹூம் 
windows விண்டோஸ் 
winter விண்டேர் 
women வோமேன் 
wonderful வொந்டெர்புல் 
workshop வோர்க்ஷோப் 
wow வாவ் = 
xxx க்ஸ்க்ஸ்க்ஸ் 
ya யா 
yaaravathu யாரவது 
yaazhppaana யாழ்ப்பாண 
yaen ஏன் 
yahoo யாஹூ 
yam யாம் 
yapdi எப்டி 
yavar யாவர் 
ye பாய் 
yean ஏன் 
year இயர் 
years எஅர்ஸ் 
yedu ஏடு 
yeduthaal எடுத்தாள் 
yeduthal எடுத்தாள் 
yeer ஈர் 
yei ஏய் 
yellam எல்லாம் 
yellow எல்லோ 
yelu ஏழு 
yemmaa ஏம்மா 
yena என 
yenakku எனக்கு 
yenaku எனக்கு 
yenda ஏன்டா 
yendaa ஏண்டா 
yendrum என்றும் 
yenga எங்க 
yennaa ஏன்னா 
yennai என்னை 
yennu எண்ணு 
yenth எந் 
yep ஏப் 
yepadi எப்படி 
yepdi எப்படி 
yeppa எப்ப 
yeppadi எப்படி 
yerinaal ஏறினாள் 
yerintha எறிந்த 
yeriya ஏறிய 
yesuvin இயேசுவின் 
yetho ஏதோ 
yeththa ஏத்த 
yeththunai எத்துணை 
yetrukollum ஏற்றுக்கொள்ளும் 
yezhuthum எழுத்தும் 
yilakkana இலக்கண 
york யார்க் 
young எங் 
yourself யௌர்ஸெல்ப் 
yugadi யுகாதி 
yup ளைப் 
en என் 
Rum றும் 
naadu னாடு 
enrum என்றும் 
